n_features,best_params,accuracy
9,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_split': 4, 'n_estimators': 150}",0.9479166666666666
10,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__min_samples_split': 6, 'n_estimators': 200}",0.9583333333333334
11,"{'estimator__criterion': 'gini', 'estimator__max_depth': 5, 'estimator__min_samples_split': 6, 'n_estimators': 150}",0.9583333333333334
12,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 15, 'estimator__min_samples_split': 8, 'n_estimators': 100}",0.9583333333333334
